date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:07:06	100/100	---MCZ	200	added ('OK')	text/plain	date:Fri,%2027%20May%202022%2016:37:05%20GMT	http://vedicastrology.wikidot.com/robots.txt		(from )
22:07:08	124302/124302	---MCZ	200	added ('OK')	text/html	etag:W/%22d60fc964d08ee92b3ae9313146c1ceab%22	http://vedicastrology.wikidot.com/	C:/My%20Web%20Sites/wikidot/vedicastrology.wikidot.com/index.html	(from )
22:07:09	337033/337033	---M-Z	200	added ('OK')	application/x-javascript	etag:%226f33cbffaf890d6a79f764d696f83343%22	http://d3g0gp89917ko0.cloudfront.net/v--291054f06006/common--javascript/init.combined.js	C:/My%20Web%20Sites/wikidot/d3g0gp89917ko0.cloudfront.net/v--291054f06006/common--javascript/init.combined.js	(from http://vedicastrology.wikidot.com/)
22:07:09	60700/60700	---M-Z	200	added ('OK')	application/x-javascript	etag:%2279399ebebf703d91d443a1fb1205dcc3%22	http://d3g0gp89917ko0.cloudfront.net/v--291054f06006/common--javascript/WIKIDOT.combined.js	C:/My%20Web%20Sites/wikidot/d3g0gp89917ko0.cloudfront.net/v--291054f06006/common--javascript/WIKIDOT.combined.js	(from http://vedicastrology.wikidot.com/)
22:07:10	57006/57006	---M-Z	200	added ('OK')	text/css	etag:%226719a32491d866011dfcaaf5abeb5acc%22	http://d3g0gp89917ko0.cloudfront.net/v--291054f06006/common--theme/base/css/style.css	C:/My%20Web%20Sites/wikidot/d3g0gp89917ko0.cloudfront.net/v--291054f06006/common--theme/base/css/style.css	(from http://vedicastrology.wikidot.com/)
22:07:12	2544/2544	---MCZ	200	added ('OK')	text/css	etag:W/%22fd9451bf548f17b8c43c28a906cd29a7%22	http://vedicastrology.wdfiles.com/local--theme/simple/style.css	C:/My%20Web%20Sites/wikidot/vedicastrology.wdfiles.com/local--theme/simple/style.css	(from http://vedicastrology.wikidot.com/)
22:07:12	136/136	---M--	200	added ('OK')	image/gif	etag:%22628e23f4-88%22	http://vedicastrology.wikidot.com/local--favicon/favicon.gif	C:/My%20Web%20Sites/wikidot/vedicastrology.wikidot.com/local--favicon/favicon.gif	(from http://vedicastrology.wikidot.com/)
22:07:13	2715/2715	---M--	200	added ('OK')	image/png	etag:%22628e23f4-a9b%22	http://vedicastrology.wikidot.com/common--images/apple-touch-icon-57x57.png	C:/My%20Web%20Sites/wikidot/vedicastrology.wikidot.com/common--images/apple-touch-icon-57x57.png	(from http://vedicastrology.wikidot.com/)
22:07:13	3384/3384	---M--	200	added ('OK')	image/png	etag:%22628e23f4-d38%22	http://vedicastrology.wikidot.com/common--images/apple-touch-icon-72x72.png	C:/My%20Web%20Sites/wikidot/vedicastrology.wikidot.com/common--images/apple-touch-icon-72x72.png	(from http://vedicastrology.wikidot.com/)
22:07:15	5455/5455	---M--	200	added ('OK')	image/png	etag:%22628e23f4-154f%22	http://vedicastrology.wikidot.com/common--images/apple-touch-icon-114x114.png	C:/My%20Web%20Sites/wikidot/vedicastrology.wikidot.com/common--images/apple-touch-icon-114x114.png	(from http://vedicastrology.wikidot.com/)
22:07:15	0/0	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2027%20May%202022%2016:37:15%20GMT	http://vedicastrology.wikidot.com/onesignal/manifest.json	C:/My%20Web%20Sites/wikidot/vedicastrology.wikidot.com/onesignal/manifest.8.delayed	(from http://vedicastrology.wikidot.com/)
22:07:15	9138/9138	---MCZ	200	added ('OK')	application/javascript	etag:W/%22a393ad4e03deeab316f7121a80708ce6%22	https://cdn.onesignal.com/sdks/OneSignalSDK.js	C:/My%20Web%20Sites/wikidot/cdn.onesignal.com/sdks/OneSignalSDK.js	(from http://vedicastrology.wikidot.com/)
22:07:17	124302/124302	---MCZ	200	added ('OK')	text/html	etag:W/%22e97650f42ed7aa994dc3ed17024001c4%22	http://vedicastrology.wikidot.com/start	C:/My%20Web%20Sites/wikidot/vedicastrology.wikidot.com/start.html	(from http://vedicastrology.wikidot.com/)
22:07:19	119384/119384	---MCZ	200	added ('OK')	text/html	etag:W/%22b6de1b02129caa769bcfe143738477ef%22	http://vedicastrology.wikidot.com/overview	C:/My%20Web%20Sites/wikidot/vedicastrology.wikidot.com/overview.html	(from http://vedicastrology.wikidot.com/)
22:07:22	33781/33781	---MCZ	200	added ('OK')	text/html	etag:W/%22f27cba59c6212396e7540b57f36fb506%22	http://vedicastrology.wikidot.com/planetary-traits-1	C:/My%20Web%20Sites/wikidot/vedicastrology.wikidot.com/planetary-traits-1.html	(from http://vedicastrology.wikidot.com/)
22:07:23	181993/181993	---MCZ	200	added ('OK')	text/html	etag:W/%22482a93857a148a2526d6627850ce0729%22	http://vedicastrology.wikidot.com/hindu-calendar	C:/My%20Web%20Sites/wikidot/vedicastrology.wikidot.com/hindu-calendar.html	(from http://vedicastrology.wikidot.com/)
22:07:23	39110/39110	---MCZ	200	added ('OK')	text/html	etag:W/%22713783768aa70ec4a3a6c87817c7d078%22	http://vedicastrology.wikidot.com/origin-and-meaning-of-horoscopic-houses	C:/My%20Web%20Sites/wikidot/vedicastrology.wikidot.com/origin-and-meaning-of-horoscopic-houses.html	(from http://vedicastrology.wikidot.com/)
22:07:24	32815/32815	---MCZ	200	added ('OK')	text/html	etag:W/%225b816ac2624c848d5459fa966d6a6b5f%22	http://vedicastrology.wikidot.com/own-sign-exaltation-and-moola-trikona-of-nodes	C:/My%20Web%20Sites/wikidot/vedicastrology.wikidot.com/own-sign-exaltation-and-moola-trikona-of-nodes.html	(from http://vedicastrology.wikidot.com/)
22:07:25	35764/35764	---MCZ	200	added ('OK')	text/html	etag:W/%2288ca42b06d9a9ee1710c919bbf0047b1%22	http://vedicastrology.wikidot.com/friendships	C:/My%20Web%20Sites/wikidot/vedicastrology.wikidot.com/friendships.html	(from http://vedicastrology.wikidot.com/)
22:07:25	32071/32071	---MCZ	200	added ('OK')	text/html	etag:W/%223b02a6b57294dbed28467a4e8cd0e55c%22	http://vedicastrology.wikidot.com/how-to-make-correct-predictions	C:/My%20Web%20Sites/wikidot/vedicastrology.wikidot.com/how-to-make-correct-predictions.html	(from http://vedicastrology.wikidot.com/)
